,ngo_name,full_address,city,state,contact_1,contact_2,website,mail
0,Belgaum Diocesan Social Service Society,"The Director Belgaum Diocesan Social Service Society (BDSSS) Sevalaya, Dr. Da Ra Bendre Road, Sadankeri, Dharwad - 580 008",Dharwad,KARNATAKA,0836-2777774,8553406996,http://ngo.india.gov.in,bdsssd(at)gmail[dot]com
0,BELGAUM DIOCESE BOARD OF EDUCATION,"BISHOPS HOUSE B.C.69,CAMP,BELGAUM.",BELGAUM,KARNATAKA,Not Available,8050381619,Not Available,bdbe[dot]sw(at)gmail.com
0,Belgaum Integrated Rural Development Society,"R.M.PATIL Executive Director B.I.R.D.Society Post: Naganur, Taluk: Gokak, District: Belgaum",Gokak,KARNATAKA,08334-288655,9448110979,Not Available,rmpatil0(at)gmail[dot]com
0,BELGAUM ROMAN CATHOLIC DIOCESE,BISHOPS HOUSE BC.69 CAMP BELGAUM,BELGAUM,KARNATAKA,Not Available,9611740397,Not Available,belgaumdiocese(at)gmail[dot]com
0,BELGAUM URBAN And RURAL DEVELOPMENT SOCIETY,NO 70 VAISHANAVI BUILDING 2ND CROSS SHIVAJI NAGAR BELGAUM,BELGAUM,KARNATAKA,Not Available,8971949837,Not Available,burds[dot]bgm(at)gmail.com
0,BELGAUM URDU ACADEMY,Plot No.10/A 3rd Cross Veerbhadra nagar Belgaum,belgaum,KARNATAKA,Not Available,9845107792,http://www.belgaumurduacademy.com,belgaumurduacademy(at)gmail[dot]com
0,belgav vibhageeya hindi seva shikshan samiti,"basav kiran building I floor, mangalwarpeth infront of shantinath hindi vidyalay ghantikeri, hubli-580 020",hubli,KARNATAKA,0836-2268668,9448302018,Not Available,bvhsss[dot]hubli(at)gmail.com
0,Bellary Diocese Board of Education,St. Martins Home Cowl Bazar,Ballari,KARNATAKA,Not Available,9483501557,Not Available,bdbe09(at)gmail[dot]com
0,BELLARY DIOCESE DEVELOPMENT SOCIETY,BELLARY DIOCESE DEVELOPMENT SOCIETY BESIDE OUTPOST POLICE STATION NEAR SUDHA CIRCLE INFANTRY ROAD CANTONMENT BELLARY 583 104,BELLARY,KARNATAKA,8392-240517,7026607702,http://www.bddsbellary.org,bddsbellary(at)gmail[dot]com
0,BELLUR KRISHNAMACHAR And SESHAMMA SMARAKA NIDHI TRUST (R),"No 864, 25th Cross, 51st Main, 1st Stage, Kumaraswamy Layout, Bangalore- 560078",Bangalore,KARNATAKA,Not Available,9341214037,Not Available,bashyamraghu(at)gmail[dot]com
0,BELTHANGADY TALUK MAHILA MANDALAGALA OKKOOTAR,BELTHANGADY TALUK MAHILA MANDALAGALA OKKOOTARCAMCO ROAD,BELTHANGADY,KARNATAKA,Not Available,9449269372,Not Available,santhwanakendrablt(at)gmail[dot]com
0,BENAKA,"No. 7/01, 13th CROSS, AREKEMPANAHALLI, WILSON GARDEN, BANGALORE - 560027",BANGALORE,KARNATAKA,080-26728562,9845345769,Not Available,benakabengaluru(at)gmail[dot]com
0,BENAKA MAKKALA NATAKA KENDRA,"No.39, Eesha Krupa, Sri Rama Mandira Road, Basavanagudi, Bangalore",Bangalore,KARNATAKA,Not Available,9980503939,Not Available,kgsk18(at)gmail[dot]com
0,BENGALURU CENTRAL UNIVERSITY,CENTRAL COLLEGE CAMPUS DR AMBEDKAR VEEDHI BENGALURU KARNATAKA,BENGALURU,KARNATAKA,Not Available,9448933649,Not Available,registrarbcu(at)gmail[dot]com
0,Bengaluru Hi Tech Educational And Charitable Trust,No 220 Ground Floor 28th Cross 2nd Block Rajajinagar Bangalore 560010,Bangalore,KARNATAKA,Not Available,9980699555,Not Available,bhiteducationaltrust(at)gmail[dot]com
0,BERACHAH CHARITABLE FOUNDATION,"No.156, Bhaktheswara Layout, Virgonagar POST, Bidarahalli, Bangalore-560049, Karnataka State, South India.",Bangalore,KARNATAKA,Not Available,9449632456,Not Available,samjisha78(at)gmail[dot]com
0,Best Practices Foundation,2C Santoh Apts Palmgrove Road Victoria Layout,Bangalore,KARNATAKA,Not Available,9611512368,http://www.bestpracticesfoundation.org/,bpfound(at)gmail[dot]com
0,BETHANY EDUCATION BOARD,"No 606/B, 8th Block, Koramangala, Bangalore 560095",Bangalore,KARNATAKA,Not Available,9880369109,http://www.bethanyinstitutions.edu.in,kailasamplr(at)gmail[dot]com
0,Bethany Educational Charitable Trust,Bethany Educational Charitable Trust No 56 Bethaniya Nilayam Gouthama Nagar Robertsonpet Kolar Gold Fieldpin 563122 Kolar Distric Karnataka State South India,Robertson pet,KARNATAKA,Not Available,9845175685,http://bethanykgf.org,byovanj(at)gmail[dot]com
0,BETHEL ASSEMBLY OF GOD CHURCH INTERNATIONAL WORSHIP CENTRE,"NO. 57/58, 11TH MAIN, MARUTHY LAYOUT, DASARAHALLI, HEBBAL,",BANGALORE,KARNATAKA,Not Available,9945655886,http://www.bethelag.in,accounts(at)bethelag[dot]in
0,BETHEL FOUNDATION,"26/1, 4TH CROSS, CAUVERY NAGAR, ARABIC COLLEGE POST, BANGALORE",BANGALORE,KARNATAKA,Not Available,7892627687,Not Available,prabhubethel(at)gmail[dot]com
0,BETHEL GOSPEL OUTREACH MINISTRIES,"KM Johnson House, Swaminathapuram, Oorgaumpet Post, KGF-563121 KARNATAKA STATE INDIA.",KOLAR GOLD FIELDS,KARNATAKA,Not Available,9980956174,Not Available,bgomkgf(at)gmail[dot]com
0,Bethel Gospel Team,"Bethel AG Church 2nd main,Ganganagar Extension Bangalore",Bangalore,KARNATAKA,Not Available,8050120777,Not Available,accounts(at)bethelgospelteam[dot]org
0,BETHEL MISSION TRUST,BETHEL MISSION COMMUNITY SERVICE CENTER B.M.ROAD IRUDHYAPURAM ROBERTSONPET KOLAR GOLD FIELDS 563122,KOLAR GOLD FIELDS,KARNATAKA,Not Available,9845276061,Not Available,bethelmissionkgf(at)gmail[dot]com
0,Bethel Prayer House Trust,"I P Farm, Vinoba Colony, Rathnapuri Road",Hunsur,KARNATAKA,Not Available,9880275033,http://betheladullam.org,bah2h(at)hotmail[dot]com
0,BETHEL STUDENT CENTRE,"BETHEL STUDENT CENTRE, No.303, Bethel Church Compound, Siddharthnagar, Jalahalli West, Bangalore Rural, karnataka",BANGALORE,KARNATAKA,Not Available,9845689447,Not Available,jsharpbeth(at)yahoo[dot]co.in
0,BETHESDA ASSEMBLY CHURCH,"75, Mosque Road, Frazer Town, Bangalore560005 Karnataka",Bangalore,KARNATAKA,Not Available,9945670300,Not Available,bethesdab5(at)gmail[dot]com
0,BETHESDA HEALTH CARE AND CHARITABLE TRUST,"139 MIG Hudco Main Road , Bannimantap, Mysore-570015",MYSORE,KARNATAKA,Not Available,7760835553,Not Available,drjeevan[dot]raksha(at)gmail.com
0,BETHESDA JOY CHARITABLE TRUST,"561, 4TH Cross, Ramanna Layout, Kothanur Post, Byrathi, Bangalore 560077",BANGALORE,KARNATAKA,Not Available,9901037055,Not Available,bethesdajoyct(at)gmail[dot]com
0,Bethesda Ministries of India,No:72 4th cross shamanna layout lingarajpuram,BENGALURU,KARNATAKA,Not Available,9880365948,Not Available,thom4moses(at)yahoo[dot]co.in
0,BETHESDA MISSION,"No.14 Hennur Main Road, St.Thomas Town, Kacharakanahalli",Bangalore,KARNATAKA,Not Available,9538490409,Not Available,edwin_danielba(at)hotmail[dot]com
0,Bethesda prophetic ministries,Bethesda Prophetic Ministries 137 SBI Layout 2nd stage Devarachikkanahalli Bangalore,Bangalore,KARNATAKA,Not Available,9900569428,Not Available,josephrajublore(at)gmail[dot]com
0,BETHRAPHA CHARITABLE AND RELIGIOUS TRUST,"Akshay Enlcave, F Blok 401 Kusugal Road Hubli",Hubli,KARNATAKA,Not Available,8710033505,Not Available,bethrapha777(at)gmail[dot]com
0,BGS HEALTH AND EDUCATION TRUST,"Sri Adichunchanagiri Mahasamsthana Math, No. CA-17, 1stB, Main Road, Vijayanagar, Bangalore-560040",Bangalore,KARNATAKA,Not Available,9916065415,Not Available,bgshetrust(at)gmail[dot]com
0,bgsamste,"Secretery BG Samste, 6th Ward H.No 26,Sulemankhan StreetBandimot,Ballari -583101",BALLARI,KARNATAKA,08396-221041,9945586100,http://www.bgsamste.org,bgsamste[dot]sgp(at)gmail.com
0,BHAAVASAGARA,"N0.344, II Floor, 3rd Main Road, VHBCS Layout, Vijayanagar, BAngalore560040",Bangalore,KARNATAKA,Not Available,9448430172,Not Available,rajanni978(at)gmail[dot]com
0,BHADRA HOMOEOPATHIC FORUM,"NO 17/8, RAMAIHA LANE , CHURCH ROAD, MURUGESHPALAYA",BANGALORE,KARNATAKA,Not Available,9448206448,HTTP://www.bhadrahomeo.com,DOCTOR(at)BHADRAHOMEO[dot]COM
0,BHAGAVAN SRI SATHYA SAI SEVA TRUST,"CHOKKADI POST, SULLIA",SULLIA,KARNATAKA,Not Available,9964059779,Not Available,ssvkchokkady(at)gmail[dot]com
0,Bhagavatharu Trust,"No 269, 13th Block, Behind Aryan School, Nagarbhavi 2nd stage,Bangalore 560072",Bangalore,KARNATAKA,080-23210200,9448077292,Not Available,revanna65(at)gmail[dot]com
0,Bhagawan Sri Ramana Maharshi Research Centre,"Bhagawan Sri Ramana Maharshi Research Centre, Archives Block, Ramana Maharshi Heritage Campus, Post Office Road, Sanjaynagar, Bangalore 560094",Bangalore,KARNATAKA,080-42061951,9845162645,http://www.ramanacentre.com,desh(at)ramanacentre[dot]com
0,Bhageerath,"No. 441, 2nd Floor, Dhanalakshmi Plaza, New Kantharaja Urs Road, T.K. Layout",Mysuru,KARNATAKA,0821-2372988,9480692432,http://www.bhageerath.org,bgrath(at)gmail[dot]com
0,BHAGVAN SRI SATYA SAI BABA MAHILA AND MAKKALA KOOTA TRUST,"CA 74, Sri Sathya Sai Baba School, Ashram Road, Jayalakshmi Puram, Mysuru",Mysuru,KARNATAKA,Not Available,9686335665,Not Available,sathyasaischoolmys(at)gmail[dot]com
0,Bhagya Abhivrudhi Seva Samasthe,BHAGYA ABHIVRUDHI SEVA SAMASTHE Plot no 43 New Venkatesh Nagar Kotnoor D Tq,Gulbarga,KARNATAKA,08472-233000,8548886662,Not Available,bhagyaglb[dot]2011(at)gmail.com
0,BHAGYA JYOTHI EDUCATION TRUST,3RD WARD OPP B C M HOSTEL GULUR ROAD BAGEPALLI CHICKABALLAPUR DIST KA,CHICKABALLAPUR,KARNATAKA,Not Available,9611445521,Not Available,bhagyajyothiet(at)gmail[dot]com
0,BHAGYA MAHILA MANDAL,BHAGYA MAHILA MANDAL PLOT NO-12 KC NAGAR NEAR MUGHALKHOD MATH SHOLAPUR ROAD BIJPAPUR 586101,BIJAPUR,KARNATAKA,08472-265901,9448333835,Not Available,bhagyasociety(at)gmail[dot]com
0,BHAGYA TRUST,"92, 3RD MAIN, FURTHER EXTENTION, VIVEK NAGAR, BANGALORE 560 047",BANGALORE,KARNATAKA,Not Available,9945215235,Not Available,renuathishta(at)hotmail[dot]com
0,BHAGYAJYOTHI MAHILA MANDALI,"SULTHANIPURA,NERLIGE POST,DAVANGERE TALUK,DAVANGERE DISTRICT PIN-577556",DAVANGERE,KARNATAKA,080-99459927,9945992729,Not Available,mangalanagaraj63(at)gmail[dot]com
0,BHAGYASHREE FOUNDATION TRUST,NO 31/71 PIPELINE ROAD RAJYOTSAVA NAGAR 2ND STAGE KUMARASWAMY LAYOUT BANGALORE,BANGALORE,KARNATAKA,Not Available,9448520019,Not Available,muralikrishnaa(at)zoho[dot]com
0,BHAGYASHRI MAHILA MANDAL,Kacheri Road Jamkhandi,Jamkhandi,KARNATAKA,08353-221573,9945951359,Not Available,jkd[dot]bmm(at)gmail.com
0,BHAGYODAYA VIDYA VARDHAK SANGH CHINCHOLI,BHAGYODAYA VIDYA VARDHAK SANGH CHINCHOLI(CHANDAPUR)TALUKA CHINCHOLI DISTRICT GULBARGA PIN 585307,CHINCHOLI TOWN,KARNATAKA,08475-273182,9448577476,Not Available,bvvschincholi94(at)gmail[dot]com
0,BHAIRAKADAR LEARNING EDUCATION(BLE) CHARITABLE TRUST,NINGAPURPETH RAMDURG,RAMDURG,KARNATAKA,Not Available,7760497864,Not Available,bub7864(at)gmail[dot]com
0,bhaktivedanta integrated rural development foundation,"CTS NO 760 ,CCB NO.100 ,NARVEKAR GALLI ,SHAHPUR,BELGAUM, BELGAUM, KARNATAKA ,INDIA-590003",BELGAUM,KARNATAKA,Not Available,8310199215,Not Available,birdfindia(at)gmail[dot]com
0,BHANDARI FOUNDATION,"Sahyadri Campus, Nh-48,Adyar, Mangalore- 575007, Dakshina Kannada, Karnataka",Mangalore,KARNATAKA,Not Available,9448100123,htpps://www.sahyadri.edu.in,principal[dot]engineering(at)sahyadri.edu.in
0,Bharamagiri Samaja Seva Samsthe,"BARAMAGIRI, 6TH CROSS, RAJ-RAJESHWARI NAGAR, RANEBENNUR",RANEBENNUR,KARNATAKA,Not Available,9731211004,Not Available,sarojiniy(at)yahoo[dot]com
0,Bharanifoundation,819 KAIVALYA MARGA SIDDARTHANAGAR MYSORE 570011,MYSORE,KARNATAKA,Not Available,9448644014,http://ngodarpan.gov.in/index.php/ngo/primaryngo,bharaningo2017(at)gmail[dot]com
0,BHARAT RURAL DEVELOPMENT SOCIETY,"Kulkarni Building, Ter Bazaar, RAMDURG",Ramdurg,KARNATAKA,Not Available,9945872038,Not Available,brdsjkdgh(at)gmail[dot]com
0,BHARAT RURAL ECONOMIC AND EDUCATIONAL DEVELOPMENT TRUST,"423, 4TH CROSS, 10TH MAIN, VIVEK NAGAR, BANGALORE560047",BANGALORE,KARNATAKA,Not Available,9036367717,Not Available,revdrjdavidpatric(at)gmail[dot]com
0,BHARATA SEVA SANGHAMA,"193,3RD CROSS, GIRINAGAR,1ST PHASE, BSK 3RD STAGE, BANGALORE-560085",BANGALORE,KARNATAKA,080-256232,8095506202,Not Available,bharatassvo[dot]99(at)gmail.com
0,BHARATEEY GRAMEEN SHIKSHAN PRASARAK SANG MUNAVALLI,"Nirmal Nagar, Post. : Munavalli, Taluka : Saundatti, District : Belagavi, Karnataka 591117",MUNAVALLI,KARNATAKA,Not Available,9880114728,Not Available,katismile(at)rediffmail[dot]com
0,Bharateeya Educational and Charitable Trust.(R),"85/3 first floor, 7th cross, pavitra school road, teachers colony, nagashetty halli, sanjaynagar post",Bangalore,KARNATAKA,Not Available,9902486657,Not Available,bharateeyaeducationaltrust(at)gmail[dot]com
0,BHARATESH EDUCATION TRUST,"BHARATESH EDUCATION TRUST, OLD PB ROAD, NEAR FORT, BELGAUM, PIN-590016",BELGAUM,KARNATAKA,0831-2426984,9844378372,http://www.bharatesh.in,info(at)bharatesh[dot]in
0,BHARATH CHARITABLE CANCER HOSPITAL AND INSTITUTE,"600/601, IRWIN ROAD",MYSORE,KARNATAKA,Not Available,9880251819,Not Available,bcchi2002(at)yahoo[dot]com
0,Bharath Foundation,"9-10-232/1, First Floor, Above Canara Bank, Chitta Road, BIDAR",Bidar,KARNATAKA,Not Available,9742002922,Not Available,bharathfoundation(at)rediffmail[dot]com
0,BHARATH INSTITUTE OF SCHOOLING EDUCATION,"No-52/2, 3RD FLOOR, SHARADA ARCADE,MARUTHI FARM, DOMDRAHALLI,LAKSHMIRURA POST, DASANAPURA HOBLI, BANGLORE NORTH, BANGLORE.",BANGLORE,KARNATAKA,Not Available,7022104643,Not Available,info[dot]sslea(at)gmail.com
0,BHARATH KHADI GRAMODYOGA SANGHA,150/J ground floor 2nd cross BEML Layout Basaveshwaranagar,Bengaluru,KARNATAKA,Not Available,9632661053,Not Available,bharathkhadi2018(at)gmail[dot]com
0,BHARATH MAHILA MANDALI,Door No. 1141/2 Imam Nagara 3rd Cross Davangere,DAVANAGERE,KARNATAKA,Not Available,9845933323,Not Available,syeddadapeer100(at)gmail[dot]com
0,BHARATH MAHILA SAMAJA,GOPALAPURA ROADE CHITRADURGA TOWN CHITRADURGA TALUK AND DIST,CHITRADURGA,KARNATAKA,Not Available,9743788509,Not Available,bharathmahilasamaja(at)gmail[dot]com
0,BHARATH PEACE EDUCATIONAL AND CHARITABLE TRUST,"Opposite M.W.A. School, K.R. Extension, Ward No. 6, Chintamani-563125, Chikkaballapur Dist., Karnataka, INDIA. Telephone: 08154 252535 Mobile:91 7353037676",Chintamani,KARNATAKA,Not Available,7353037676,Not Available,bpect[dot]cmy(at)gmail.com
0,BHARATH SEVASHRAM,"BHARATH SEVASHRAM, SEVADHAM, KANYANA POST: KANYANA - 574279 BANTWAL TALUK DAKSHINA KANNADA DISTRICT KARNATAKA STATE, INDIA",MANGALORE,KARNATAKA,08255-266235,9448059645,Not Available,bharathsevashramkanyana(at)gmail[dot]com
0,BHARATH UNIVERSAL EDUCATION SOCIETY,"HALLIMYSORE, HOLENARSIPUR TALUK, HASSAN DISTRICT",HOLENARSIPUR,KARNATAKA,Not Available,9620015599,Not Available,dialfordrive(at)gmail[dot]com
0,BHARATHA MAHILA MANDALA,KURUBARAHALLI AT POST CHITRADURGA TALUK CHITRADURGA DISTRICT,CHITRADURGA,KARNATAKA,Not Available,9632665780,Not Available,hinazaid21(at)gmail[dot]com
0,Bharatha Matha Education Society(R),"No. 6,3rd Cross, Mount Joy Road, Near Kumarswamy Temple, 50 feet Road, Hanumanthanagara, Benglauru-560019",Bangalore,KARNATAKA,Not Available,9110669225,Not Available,bharathamatha[dot]edusoc(at)gmail.com
0,"Bharatheeya Ithihasa Sankalana Samiti, Karnataka","NO 55, YADAVA SMRITI, LINK ROAD",BANGALORE,KARNATAKA,Not Available,9741008000,http://trueindianhistory.org/,itihasablr(at)gmail[dot]com
0,BHARATHI CULTURAL ACADEMY,ARASANAHALLI-562114 HOSAKOTE TALUK.,BANGALORE,KARNATAKA,Not Available,9686339009,Not Available,bharathiculture1994(at)gmail[dot]com
0,BHARATHI EDUCATION TRUST,"H L NO.26/1013 IN SY NO.74 VILLAGE PATHAPALYA, BAGEPALLI TQ, PATHAPALYA POST CHIKKABALLAPURA DIST KARNATAKA PIN 561212",BAGEPALLI,KARNATAKA,08150-285211,9900154023,Not Available,bharathieducationtrustppl(at)gmail[dot]com
0,Bharathi Seva Mandali Trust,"Chethana Special School Near Krishna Mandir Anekere, Karkala Tq.- 574104",UDUPI,KARNATAKA,Not Available,9686406539,Not Available,chethanaspecialschool(at)yahoo[dot]in
0,BHARATHI WELFARE SOCIETY,P B No 22 Om Shiva sai Gopasandra chintamani,Chintamani,KARNATAKA,Not Available,9845876695,Not Available,bharathiwelfaresociety(at)gmail[dot]com
0,BHARATHI YOGA DHAMA,"D0-716,11TH MAIN , 2ND CROSS, E-BLOCK, JP NAGAR,",MYSORE,KARNATAKA,Not Available,9844220393,Not Available,nsuresh_ca(at)yahoo[dot]com
0,BHARATHIYA UVA CHETHANA PRATHISTHANA,"NO 11, SOMPURA, KENGERI HOBLI, VIDYAPETA POST,BANASHANKARI 6TH PHASE, BBMP 198,",BANGALORE,KARNATAKA,Not Available,9483319763,Not Available,mallikalavandi(at)gmail[dot]com
0,Bharathiya Vikas Trust,"Bharathiya Vikas Trust Ananth, Parampalli, ShivalliUdupi Karnataka- 576102",Udupi,KARNATAKA,Not Available,9886943717,Not Available,manohar[dot]bvtsifc(at)gmail.com
0,BHARATI SHAIKSHANIKA AND GRAMEENABHIRUDHI SAMSTHE,H NO 861 KEERTHI NAGAR MANAGULI ROAD VIJAYAPUR,VIJAYAPUR,KARNATAKA,Not Available,8861668813,Not Available,nagaral[dot]99bn(at)gmail.com
0,Bharatiya Adim Jati Sevak Sangh Dharwad Branch Karnataka,"Dr.Steiner’s Curative Education Institute for mentally retarded School Building, D.C.Compound, Dharwad,",Dharwad,KARNATAKA,Not Available,9422828259,http://www.bajss.org,swadhardwd(at)gmail[dot]com
0,Bharatiya Adim Jati Sevak Sangh Kengeri Branch Karnataka,"Gurukula Vidya Peetha, Vidyapeetha Road, Kengeri, Bangalore-560060",Bangalore,KARNATAKA,Not Available,9731454557,http://www.bajss.org,bharathaken(at)gmail[dot]com
0,Bharatiya Education and Rural Development Society,"Shah Gunj, Opp DCC Bank, Bidar-585401",Bidar,KARNATAKA,Not Available,9343576719,Not Available,berds2003bidar(at)gmail[dot]com
0,BHARATIYA INSTITUTE OF SCHOOLING EDUCATION,"RAGHUNATH ROAD, BHATKAL 581320, UTTARA KANNADA DISTRICT KARNATAKA INDIA",UTTARA KANNADA,KARNATAKA,Not Available,9620235355,Not Available,bhatkalmindswot(at)gmail[dot]com
0,bharatiya kannada pratisthana,"NO. 27/1, ""HARSHA NILAYA"", 10TH CROSS JAVARE GOWDA ROAD, HANUMANTH NAGAR(LAND MARK-near RAMANJANEYA TEMPLE)",bangalore,KARNATAKA,Not Available,9739355523,https://www.bharatiyakannadapratisthana.com/,harsha8393(at)gmail[dot]com
0,Bharatiya Mahila Hatti Kaimagga Nekarar Vividoddeshagal Sangh Mahalingapur,Bouravva Javalagi Ward NO 23 Bundi PD Mahalingapur Mudhol Bagalkot Karnataka,Mahalingpur,KARNATAKA,Not Available,9110283690,Not Available,bharatiysamskruti(at)gmail[dot]com
0,Bharatiya Samskriti Vidayapith,"No: 29, 1ST MAIN ROAD, CHAMARAJPET, BANGALORE",Bangalore,KARNATAKA,Not Available,7899900241,http://www.bsvinsitution.org,bsvp1957(at)gmail[dot]com
0,BHARATIYA SANSKRITI FOUNDATION,B 1404 NCC ASTER PARKYELAHANKA NEW TOWN YELAHANKA,BANGALORE,KARNATAKA,Not Available,9483460577,Not Available,worldforum[dot]ngo(at)gmail.com
0,BHARATIYA SEVA SAMSTHE,"No. 363, T DASARAHALLI, 37 MAIN BHUVANESHWARINAGAR, BANGALORE NORTH TALUK, BANGALORE",BANGALORE NORTH,KARNATAKA,Not Available,9448884497,Not Available,bss[dot]srk(at)gmail.com
0,BHARATIYA SHIKSHANA PRASARA SAMITI,"ADARSHABALIKA PROUDHA SHALA CAMPUS, NEAR NTTF, HOSAYALLPUR, RAM NAGAR",dharwad,KARNATAKA,Not Available,9964486475,Not Available,bspsdharwad(at)gmail[dot]com
0,BHARATIYA YUVAJANA SEVA SAMITI,"C/O DATTATREYA H KABADI, 315/2 PLOT NO 1KAMALA HANUMATH NIVAS HUBLI ROAD GADAG",GADAG,KARNATAKA,Not Available,9060017815,Not Available,uj_ka(at)hotmail[dot]com
0,BHARATIYIA GRAMEEN MAHILA SANGH,"BHARATIYIA GRAMEEN MAHILA SANGH RAMESH NAGAR, 18TH CROSS VIBHUTIPURA MAIN ROAD BANGALORE560037",BANGALORE,KARNATAKA,Not Available,9845605042,Not Available,svk2003(at)gmail[dot]com
0,Bhartiya Adim Jati Sevak Sangh Belgaon Branch Karnataka,"At Post Vadgaon, Sambhajinagar, Belgaum-590005",Belgaum,KARNATAKA,Not Available,9886514004,http://www.bajss.org,bajssbelgaon(at)gmail[dot]com
0,BHAVANI MAHILA MANDALI,BHEEMASAMUDRA AT POST CHITRADURGA TALUK AND DIST,CHITRADURGA,KARNATAKA,Not Available,7899372775,Not Available,srikrishna[dot]cta(at)gmail.com
0,BHAVANI MULTIPURPOSSOCIETY,BHAVANI NIVAS MIG 17 HUDKOKHB COLONY BIDAR-585401,Bidar,KARNATAKA,Not Available,9141675234,Not Available,bhavanimultipurposes(at)gmail[dot]com
0,Bhavani Samskrutika hagu Sahityika Chatuvatika Sangha,Village HippalgaonPost Chambol Tq and Dist Bidar Karnataka India,Bidar,KARNATAKA,Not Available,9036616002,Not Available,sharanappagange123(at)gmail[dot]com
0,BHAVISHYA BELAKU CHARITABLE TRUST,"No.387/2110, 11th ward, Sungar Street, Near Eashwar Temple, HARAPANAHALLI TOWN, DAVANAGERE DISTRICT PIN:583131",HARPANAHALLI,KARNATAKA,Not Available,9901718441,Not Available,nareshgst2(at)gmail[dot]com
0,BHAVSAR KSHATRIYA WOMEN AND CHILDREN TRUST,"No.2, 1st Main, Kalyana Nagar, Mudalapalya, Bangalore-560072",Bangalore,KARNATAKA,Not Available,9035147156,Not Available,ssrao[dot]rao(at)gmail.com
0,bheema vidya samshte,"Dr.Bheema Vidya Samste 1st Ward, near ollur majzid, tippu sultan circle, sindanoor road SIRUGUPPA 583121 Sirguppa Tq Bellary DIST",Sirguppa,KARNATAKA,Not Available,9741999468,Not Available,maheshagvt(at)gmail[dot]com
0,BHOOMI DEEPA VIDHYA VAHINI SAMSTHE,"Bhoomideepa vidyavahini samste C/O NIrajan Kumbarara beedhi, Mutton market road, near nirajan stichware, Koratagere taluk, Tumkur District- 572 129",koratagere,KARNATAKA,Not Available,9845991509,Not Available,komaheshkort(at)gmail[dot]com
0,BHOOMIKA NEST,"NO.5, 2ND MAIN, 4TH CROSS DEEPANJALINAGAR BANGALORE 560026",BANGALORE,KARNATAKA,Not Available,9448233885,Not Available,bmknest(at)gmail[dot]com
0,bhoomika social welfare association,"No 399 8th main Road 5th cross D groupSreegandadakaval,Bangalore 560076 Karnataka State India",BANGALORE,KARNATAKA,Not Available,9110298402,Not Available,bhoomibalarama(at)gmail[dot]com
0,Bhu Medhya Rural Development Organisation,"LIG29, Rajeev Nagar, Chikodi",Chikodi,KARNATAKA,Not Available,7676432111,Not Available,bhumedhya(at)gmail[dot]com
0,BHUMI SAMAGRA ABHIVRUDHI SEVA SAMSTHE KYARKOPA,KYARAKOPPA TQ AND DIST DHARWAD,DHARWAD,KARNATAKA,Not Available,9008453137,Not Available,manjuhuded2(at)gmail[dot]com
0,Bhuvaneshwari Seva Samsthe,"Head Office : Arod Plazza,Patheh Nagar, Anand Nagar Road Old Hubli 0836-2220268",Hublii,KARNATAKA,08372-277726,9535290188,http://www.bssgadag.com,rajuseva2002(at)rediffmail[dot]com
0,Bhuvaneshwari Association,Bhuvaneshwari Association Doddibeedi Harihar-577 601 Davanagere District Karnataka,Chitradurga,KARNATAKA,08172-240226,9986408109,Not Available,bhuvaneshwariknt(at)gmail[dot]com
0,BHUVANESHWARI MAHILA MATHU MAKKALA VIVIDODESHAGALA SAMSTE VIJAYAPURA,BHUVANESHWARI MAHILA MATHU MAKKALA VIVIDODESHAGALA SAMSTE VIJAYAPUR MUKUNDA NAGAR STATION ROAD VIJAYAPUR,VIJAYAPUR,KARNATAKA,08352-278857,8105669757,Not Available,bhuvaneshwarisamste(at)gmail[dot]com
0,BHUVANESHWARI NAGARA MATTU GRAMINABHIVRUDDI SAMSTE SHANKAR NAGAR ATHANI,A/P MASARAGUPPITQ.ATHANI DIST.BELGAUM,ATHANI,KARNATAKA,Not Available,9590464644,Not Available,BHUVANESHWARISOCIETY6(at)GMAIL[dot]COM
0,BHUVANESHWARI RURAL SANGEETHA NATYA KALA KENDRA,"NEAR K.S.R.T.C. BUS-STAND, RAMNAGAR-562117, RAMNAGAR DISTRICT, KARNATAKA.",BANGALORE,KARNATAKA,Not Available,9900469103,Not Available,bhuvana[dot]kendra99(at)gmail.com
0,BHUVANESHWARI VOKKALIGARA MAHILA SANGHA,"22nd Main, 22nd Cross, Pharmacy college Bldg, BSK II Stage,",Bengaluru,KARNATAKA,Not Available,9901789555,Not Available,bvmsinfo(at)gmail[dot]com
0,BHUVANESHWARI WOMENS WELFARE SOCIETY,"125/110, VINAYAK COLONY,SHAHU NAGAR, BELAGAVI",BELAGAVI,KARNATAKA,Not Available,9731610464,Not Available,bhuvaneshwarimks(at)gmail[dot]com
0,BIBI FATHIMA EDUCATIONAL TRUST,"@5 JAMIA EDUCATION COMPLEX, ILYAS NAGAR,J.P. NAGAR POST BANGALORE",BANGALORE,KARNATAKA,Not Available,9242484476,http://www.bibifathimaiti.com,fathimatrust(at)yahoo[dot]com
0,Bible Believing Churches And Missions,"10 Criscons Ave, Lakshmamma Layout, 2nd Cross",Bangalore,KARNATAKA,Not Available,9916393068,Not Available,samuel[dot]bbcm(at)gmail.com
